Year|Month|Day|Time|End Year|End Month|End Day|End Time|Display Date|Headline|Text|Group|Media|Media Credit|Media Caption|Media Thumbnail|Alt Text|Type|Background
1926||||1931|||||Lord Irwin|Viceroy who appointed Simon Commission (1927). Issued Irwin Declaration (1929) promising dominion status for India. Signed Gandhi-Irwin Pact (1931) ending Civil Disobedience Movement.|British Officials|||||||
1931||||1936|||||Lord Willingdon|Viceroy who faced renewed Civil Disobedience Movement and imprisoned Gandhi and other Congress leaders. Implemented Government of India Act 1935. Opened new capital New Delhi.|British Officials|||||||
1936||||1943|||||Lord Linlithgow|Longest-serving Viceroy who declared India at war with Germany without consulting Indian leaders. Faced Quit India Movement (1942). Offered Cripps Proposal (1942) which was rejected by Congress.|British Officials|||||||
1943||||1947|||||Lord Wavell|Viceroy who released Congress leaders and organized Simla Conference (1945). Proposed Cabinet Mission Plan (1946). Dealt with post-war political negotiations and communal violence.|British Officials|||||||
1947||||1948|||||Lord Mountbatten|Last Viceroy who implemented partition and independence of India and Pakistan. Prepared Mountbatten Plan for transfer of power. Became first Governor-General of independent India.|British Officials|||||||
1919|||||||||General Dyer|British military officer responsible for Jallianwala Bagh Massacre (April 13, 1919) in Amritsar, where troops fired on unarmed civilians, killing hundreds. Later removed from duty but praised by many in Britain.|British Officials|||||||
1798||||1805|||||Sir Thomas Munro|Governor of Madras who introduced Ryotwari System of land revenue. Advocated direct settlement with cultivators rather than zamindars. Promoted Indian participation in administration.|British Officials|||||||
1854|||||||||Sir Charles Wood|"Secretary of State for India who issued Wood's Dispatch (1854), known as ""Magna Carta of English Education in India."" Established modern educational system with universities in Calcutta, Bombay, and Madras."|British Officials|||||||
1857||||1863|||||Sir John Lawrence|Chief Commissioner of Punjab during 1857 Revolt who maintained control of the region. Later became Viceroy (1864-69). Known for administrative reforms and public works.|British Officials|||||||
1843|||||||||Sir Charles Napier|"British general who conquered Sindh in 1843 and became its first Governor. Famously sent message ""Peccavi"" (Latin for ""I have sinned"") after conquest."|British Officials|||||||
1883|||||||||Ilbert Bill Controversy|Bill introduced by Viceroy Lord Ripon's government to allow Indian judges to try European British subjects in criminal cases. Faced fierce opposition from the European community, leading to its dilution. Marked a turning point in Indian political consciousness and highlighted racial discrimination under British rule.|British Acts|||||||
