Year|Month|Day|Time|End Year|End Month|End Day|End Time|Display Date|Headline|Text|Media|Media Credit|Media Caption|Media Thumbnail|Alt Text|Type|Group|Background
1927 | 11 |  |  |  |  |  |  |  | Establishment of Simon Commission | <h3>Event Summary</h3><p>The all-white Simon Commission was established in November 1927, ahead of the 10-year review mandated by the 1919 Act.</p><h4>Key Details</h4><ul><li>The commission was rushed before the 1929 deadline due to Conservative fears of a Labour victory</li><li>The commission excluded Indian members, causing unanimous anger</li><li>It was viewed as a violation of self-determination principles</li></ul><h4>Significance</h4><p>The appointment stimulated radical forces demanding independence and socialist reforms, and provided Congress with an opportunity for mass action.</p> |  |  |  |  |  |  | Constitutional Development |
1923 |  |  |  |  |  |  |  |  | Lee Commission | <h3>Event Summary</h3><p>The Lee Commission was established in 1923 to examine civil service recruitment in India.</p><h4>Key Details</h4><ul><li>The commission focused specifically on civil service recruitment issues</li></ul> |  |  |  |  |  |  | British |
1924 |  |  |  |  |  |  |  |  | Muddiman Committee | <h3>Event Summary</h3><p>The Muddiman Committee was formed in 1924 to review the Constitution.</p><h4>Key Details</h4><ul><li>The majority suggested minor changes to the constitution</li><li>The minority, consisting of non-official Indians, demanded abolition of dyarchy and a democratic constitution</li></ul> |  |  |  |  |  |  | Constitutional Development |
1926 |  |  |  |  |  |  |  |  | Linlithgow Commission | <h3>Event Summary</h3><p>The Linlithgow Commission was established in 1926 to recommend agricultural improvements.</p><h4>Key Details</h4><ul><li>The commission recommended agricultural improvements for rural prosperity</li><li>It specifically recommended improving the quality of Indian cattle</li></ul> |  |  |  |  |  |  | British |
1927 | 12 |  |  |  |  |  |  |  | Congress Decision to Boycott Simon Commission | <h3>Event Summary</h3><p>In December 1927, the Congress decided to boycott the Simon Commission, with Nehru securing an independence resolution.</p><h4>Key Details</h4><ul><li>Hindu Mahasabha and Jinnah's Muslim League supported the boycott</li><li>The Shafi faction opposed the boycott</li></ul> |  |  |  |  |  |  | Freedom Movement |
1928 | 2 | 3 |  |  |  |  |  |  | Simon Commission Arrival and Protests | <h3>Event Summary</h3><p>The Simon Commission's arrival on February 3, 1928 was met with nationwide hartals and "Simon Go Back" demonstrations.</p><h4>Key Details</h4><ul><li>The protests marked the emergence of a youth movement with Nehru and Bose as leaders</li><li>Demonstrations were violently suppressed by police</li><li>Nehru and Pant were beaten during the protests</li></ul> |  |  |  |  |  |  | Freedom Movement |
1928 |  |  |  |  |  |  |  |  | Lala Lajpat Rai's Fatal Injury | <h3>Event Summary</h3><p>In 1928, Lala Lajpat Rai was fatally injured during protests against the Simon Commission.</p><h4>Key Details</h4><ul><li>Rai called the blows "last nails in coffin of British Imperialism"</li></ul> |  |  |  |  |  |  | Freedom Movement |
1930 |  |  |  |  |  |  |  |  | Simon Commission Recommendations | <h3>Event Summary</h3><p>The Simon Commission published its recommendations in 1930.</p><h4>Key Details</h4><ul><li>Recommended removal of dyarchy and provincial autonomy with governor's discretionary powers</li><li>Rejected central parliamentary responsibility</li><li>Retained communal electorates</li><li>Delayed federalism via Consultative Council</li><li>Recommended NWFP/Baluchistan receive local legislature and central representation</li><li>Recommended separation of Sindh/Burma</li><li>Proposed Indianisation of the Indian army while maintaining British forces</li></ul> |  |  |  |  |  |  | Constitutional Development |
1928 |  |  |  |  |  |  |  |  | Nehru Report | <h3>Event Summary</h3><p>The Nehru Report of 1928 was the first Indian attempt to create a constitutional framework.</p><h4>Key Details</h4><ul><li>Committee members included Tej Bahadur Sapru, Subhas Chandra Bose, M.S. Aney, Mangal Singh, Ali Imam, Shuaib Qureshi, and G.R. Pradhan</li><li>The report was unanimous except for disagreement over dominion status versus complete independence</li><li>Granted concessions to Hindu Mahasabha including joint electorates with Muslim reservations only where minority</li><li>Proposed Sindh detachment from Bombay with conditions</li><li>Recommended unitary political structure with center holding residual powers</li></ul> |  |  |  |  |  |  | Constitutional Development |
1927 |  |  |  |  |  |  |  |  | Delhi Proposals | <h3>Event Summary</h3><p>The Muslim League issued the Delhi Proposals in 1927 with specific demands for Muslim representation.</p><h4>Key Details</h4><ul><li>Demanded joint electorates with Muslim reserved seats</li><li>Called for one-third Muslim representation in Central Assembly</li><li>Requested proportional representation in Punjab and Bengal</li><li>Proposed new Muslim-majority provinces (Sindh, Baluchistan, NWFP)</li></ul> |  |  |  |  |  |  | Constitutional Development |
1928 |  |  |  |  |  |  |  |  | Jinnah's Amendments to Nehru Report | <h3>Event Summary</h3><p>In 1928, Jinnah proposed amendments to the Nehru Report.</p><h4>Key Details</h4><ul><li>Called for one-third Muslim representation</li><li>Demanded provincial residual powers</li></ul> |  |  |  |  |  |  | Constitutional Development |
1929 |  |  |  |  |  |  |  |  | Jinnah's Fourteen Points | <h3>Event Summary</h3><p>Jinnah issued his Fourteen Points in 1929 in response to the Nehru Report.</p><h4>Key Details</h4><ul><li>Called for a federal constitution with provincial autonomy</li><li>Demanded state concurrence for constitutional amendments</li><li>Requested Muslim representation in all elected bodies</li><li>Asked for one-third Muslim representation in central legislature and cabinet</li><li>Insisted on separate electorates</li><li>Opposed legislation against Muslim interests</li><li>Rejected territorial redistribution affecting Muslim majorities</li><li>Called for Sindh separation from Bombay</li><li>Demanded reforms in NWFP and Baluchistan</li><li>Emphasized religious freedom and protection of Muslim rights</li></ul> |  |  |  |  |  |  | Constitutional Development |
1929 |  |  |  |  |  |  |  |  | Formation of Independence for India League | <h3>Event Summary</h3><p>Young Congress leaders S.C. Bose and J.L. Nehru jointly set up the Independence for India League in 1929.</p><h4>Key Details</h4><ul><li>The league was formed in rejection of the dominion status proposed in the Nehru Report</li><li>It advocated for complete independence instead</li></ul> |  |  |  |  |  |  | Freedom Movement |
1928 | 12 | | | | | | | December 1928 | Calcutta Congress Session | <h3>Event Summary</h3><p>The Calcutta Congress session approved the Nehru Report while younger elements demanded Purna Swaraj instead of dominion status.</p><h4>Key Details</h4><ul><li>Younger leaders (Nehru, Bose, Satyamurthy) demanded Purna Swaraj</li><li>Older leaders (Gandhi, Motilal Nehru) preferred gradual approach to independence</li><li>Congress issued ultimatum: dominion status by year-end or civil disobedience for complete independence</li></ul><h4>Significance</h4><p>This session marked a growing divide between younger and older Congress leaders regarding the pace and goals of the independence movement.</p> | | | | | | | Freedom Movement |
1929 | 10 | | | | | | | October 1929 | Irwin's Declaration | <h3>Event Summary</h3><p>Viceroy Irwin issued a declaration to restore faith in British policy, promising eventual dominion status and proposing a Round Table Conference.</p><h4>Key Details</h4><ul><li>Purpose was to restore faith in the ultimate purpose of British Policy</li><li>Promised eventual dominion status for India</li><li>Proposed a Round Table Conference to discuss India's future</li></ul> | | | | | | | British |
1929 | 11 | | | | | | | November 1929 | Delhi Manifesto | <h3>Event Summary</h3><p>National leaders issued the Delhi Manifesto stating conditions for participation in the Round Table Conference, which Irwin rejected.</p><h4>Key Details</h4><ul><li>Demanded the conference should formulate a constitution for dominion status implementation</li><li>Called for Congress to have majority representation</li><li>Requested general amnesty for political prisoners</li><li>Viceroy Irwin rejected these demands</li></ul> | | | | | | | Freedom Movement |
1929 | 12 | | | | | | | December 1929 | Lahore Congress Session | <h3>Event Summary</h3><p>The Lahore Congress under Nehru's presidency declared complete independence as its goal and authorized civil disobedience.</p><h4>Key Details</h4><ul><li>Declared complete independence as the goal</li><li>Authorized civil disobedience movement</li><li>Decided to boycott the Round Table Conference</li><li>Instructed legislators to resign</li><li>Set January 26, 1930 as Independence Day</li><li>On December 31, Nehru hoisted the tricolor flag at River Ravi</li></ul> | | | | | | | Freedom Movement |
1930 | 1 | 26 | | | | | | January 26, 1930 | Independence Pledge Read Nationwide | <h3>Event Summary</h3><p>The Independence Pledge was read across the country, declaring the inalienable right to freedom and detailing British exploitation.</p><h4>Key Details</h4><ul><li>Declared the inalienable right to freedom</li><li>Detailed British exploitation (economic, political, cultural, spiritual)</li><li>Committed to civil disobedience through non-payment of taxes</li></ul><h4>Significance</h4><p>This date marked the first celebration of Independence Day in India, years before actual independence was achieved.</p> | | | | | | | Freedom Movement |
1930 | 3 | 12 | | 1930 | 4 | 6 | | March 12-April 6, 1930 | Dandi March | <h3>Event Summary</h3><p>Gandhi led 78 followers on a 240-mile march from Ahmedabad to Dandi, where he violated the salt law.</p><h4>Key Details</h4><ul><li>Gandhi led 78 followers on the 240-mile march</li><li>The march culminated in the violation of the salt law at Dandi</li><li>Gandhi issued directives for salt law disobedience, foreign shop picketing, tax refusal, lawyer practice suspension, and court boycotts</li></ul><h4>Significance</h4><p>The Dandi March became an iconic moment in the Civil Disobedience Movement and a powerful symbol of non-violent resistance.</p> | | | | | | | Freedom Movement |
1930 | 4 | | | | | | | April 1930 | Nehru's Arrest and Nationwide Demonstrations | <h3>Event Summary</h3><p>Jawaharlal Nehru's arrest triggered demonstrations in major cities including Madras, Calcutta, and Karachi.</p><h4>Key Details</h4><ul><li>Nehru was arrested in April 1930</li><li>His arrest led to widespread demonstrations across major Indian cities</li><li>Protests occurred in Madras, Calcutta, and Karachi</li></ul> | | | | | | | Freedom Movement |
1930 | 5 | | | | | | | May 1930 | Gandhi's Arrest | <h3>Event Summary</h3><p>Gandhi was arrested after announcing his plan to raid the Dharasana Salt Works, leading to expanded civil disobedience.</p><h4>Key Details</h4><ul><li>Gandhi was arrested in May 1930</li><li>The arrest came after his announcement to raid the Dharasana Salt Works</li><li>Following his arrest, the Congress Working Committee sanctioned expanded civil disobedience including non-payment of revenue in Ryotwari areas, no chowkidara tax in Zamindari areas, and violation of forest laws in Central provinces</li></ul> | | | | | | | Freedom Movement |
1930 | 4 | | | | | | | April 1930 | Rajagopalachari's Salt March | <h3>Event Summary</h3><p>C. Rajagopalachari organized a salt march from Tiruchirappalli to Vedaranniyam in Tamil Nadu.</p><h4>Key Details</h4><ul><li>The march went from Tiruchirappalli to Vedaranniyam</li><li>Foreign cloth picketing also occurred in Coimbatore, Madura, and Virudhunagar</li></ul> | | | | | | | Freedom Movement |
1930 | 5 | 21 | | | | | | May 21, 1930 | Dharasana Salt Works Raid | <h3>Event Summary</h3><p>A raid on the Dharasana Salt Works led by Sarojini Naidu, Imam Sahib, and Manilal Gandhi faced brutal police response.</p><h4>Key Details</h4><ul><li>The raid was led by Sarojini Naidu, Imam Sahib, and Manilal Gandhi (Gandhi's son)</li><li>Protesters faced brutal lathi-charge from police</li><li>The violence resulted in 2 deaths and 320 injuries</li></ul> | | | | | | | Freedom Movement |
1930 | 5 | 7 | | 1930 | 5 | 16 | | May 7-16, 1930 | Sholapur Textile Workers' Strike | <h3>Event Summary</h3><p>Textile workers in Sholapur went on strike following Gandhi's arrest, establishing a parallel government that required martial law to suppress.</p><h4>Key Details</h4><ul><li>The strike occurred from May 7-16, 1930</li><li>Workers burned government symbols</li><li>A parallel government was established</li><li>The situation required martial law to be imposed</li></ul> | | | | | | | Freedom Movement |
1930 | 7 | | | | | | | July 1930 | Viceroy's Round Table Conference Proposal | <h3>Event Summary</h3><p>The Viceroy proposed a round table conference as a response to the ongoing Civil Disobedience Movement.</p><h4>Key Details</h4><ul><li>The proposal came in July 1930</li><li>It was an attempt to address the growing civil disobedience across India</li></ul> | | | | | | | British |
1930 | 11 | | | 1931 | 1 | | | November 1930-January 1931 | First Round Table Conference | <h3>Event Summary</h3><p>The First Round Table Conference was held between British and Indian representatives, though Congress refused to attend.</p><h4>Key Details</h4><ul><li>First conference between British and Indians as equals</li><li>Participants included Maharajas, Muslim League, Hindu Mahasabha, Sikhs, Liberals, Depressed Classes, Justice Party, Anglo-Indians, Europeans, and university representatives</li><li>Women participants included Begum Jahanara Shahnawaz and Radhabai Subbarayan</li><li>General agreement reached on India developing into a federation</li><li>Safeguards for defense and finance were discussed</li><li>Debates occurred on minority representation</li></ul><h4>Significance</h4><p>Little was achieved, but the British realized Congress participation was necessary for meaningful progress.</p> | | | | | | | Constitutional Development |
1931 | 3 | | | | | | | March 1931 | Gandhi-Irwin Pact | <h3>Event Summary</h3><p>The Gandhi-Irwin Pact (Delhi Pact) was signed, establishing terms for suspending civil disobedience and government concessions.</p><h4>Key Details</h4><ul><li>Government agreed to release political prisoners not convicted of violence, remit uncollected fines, treat resigned government servants leniently, withdraw emergency ordinances, return lands not sold to third parties, grant salt making rights in coastal villages, and allow peaceful picketing</li><li>The Viceroy refused public inquiry into police excesses and commutation of Bhagat Singh and comrades' death sentences</li><li>Gandhi agreed to suspend civil disobedience and participate in the next Round Table Conference</li></ul> | | | | | | | Freedom Movement |
1931 | 3 | | | | | | | March 1931 | Karachi Congress Session | <h3>Event Summary</h3><p>The Karachi Congress Session endorsed the Gandhi-Irwin Pact and adopted resolutions on Fundamental Rights and National Economic Programme.</p><h4>Key Details</h4><ul><li>Disapproved political violence while admiring martyrs' "bravery" and "sacrifice"</li><li>Endorsed the Delhi Pact (Gandhi-Irwin Pact)</li><li>Reiterated the Purna Swaraj goal</li><li>Adopted resolutions on Fundamental Rights (free speech/press, universal franchise, equal rights, religious neutrality, compulsory primary education, minority protections) and National Economic Programme (economic reforms for rural areas, labor reforms, industrial policy)</li></ul> | | | | | | | Freedom Movement |
1931 | 9 | 7 | | 1931 | 12 | 1 | | September 7-December 1, 1931 | Second Round Table Conference | <h3>Event Summary</h3><p>The Second Round Table Conference was held with Gandhi as the sole Congress representative, but ended in deadlock over minority representation.</p><h4>Key Details</h4><ul><li>Gandhi claimed to represent all Indians</li><li>Disagreements arose over minority representation</li><li>Session deadlocked on the Minorities' Pact</li><li>Gandhi demanded partnership based on equality</li><li>Women participants included Sarojini Naidu, Begum Jahanara Shahnawaz, and Radhabai Subbarayan</li></ul><h4>Significance</h4><p>No substantial results were achieved due to disagreements, but MacDonald announced two Muslim majority provinces (NWFP, Sindh).</p> | | | | | | | Constitutional Development |
1931 | 9 | | | | | | | September 1931 | Hijli Jail Firing Incident | <h3>Event Summary</h3><p>The Hijli Jail firing incident occurred during the truce period of the Civil Disobedience Movement.</p><h4>Key Details</h4><ul><li>The incident took place in September 1931</li><li>It was one of several instances of government repression during the truce period</li></ul> | | | | | | | British |
1931 | 12 | 31 | | | | | | December 31, 1931 | Viceroy Willingdon Refuses Meeting with Gandhi | <h3>Event Summary</h3><p>Viceroy Willingdon refused to meet with Gandhi, signaling a change in government attitude after the Second Round Table Conference.</p><h4>Key Details</h4><ul><li>The refusal came on December 31, 1931</li><li>It marked a shift in government approach to prevent Gandhi from building mass movement momentum</li><li>This was part of a strategy to maintain confidence of government functionaries and loyalists</li><li>The government aimed to block rural consolidation of the national movement</li></ul> | | | | | | | British |
1932 | 1 | 4 | | | | | | January 4, 1932 | Gandhi's Arrest | <h3>Event Summary</h3><p>Gandhi was arrested as part of the government's crackdown on the resumed Civil Disobedience Movement.</p><h4>Key Details</h4><ul><li>The arrest came shortly after Viceroy Willingdon refused to meet with Gandhi</li><li>It was part of the government's "Civil Martial Law" imposed via repressive ordinances</li><li>The arrest was followed by banning of Congress, arrests of activists, and confiscation of properties</li></ul> | | | | | | | British |
1932 | 8 | 16 | | | | | | August 16, 1932 | Communal Award Announced | <h3>Event Summary</h3><p>Ramsay MacDonald announced the Communal Award based on findings of the Lothian Committee, establishing separate electorates for various communities.</p><h4>Key Details</h4><ul><li>Established separate electorates for Muslims, Europeans, Sikhs, Indian Christians, Anglo-Indians, depressed classes, and Marathas lasting 20 years</li><li>Provincial legislature seats were distributed on communal basis</li><li>Existing provincial legislature seats were doubled</li><li>Muslims in minority areas were granted weightage</li><li>Depressed classes were accorded minority status and given "double vote" (separate and general electorates)</li><li>3% seats were reserved for women in all provinces except NWFP</li><li>Specific seat allocations were made for labourers, landlords, traders, industrialists</li></ul> | | | | | | | Constitutional Development |
1932 | 9 | 20 | | | | | | September 20, 1932 | Gandhi's Fast Against Separate Electorates | <h3>Event Summary</h3><p>Gandhi began an indefinite fast to protest separate electorates for depressed classes as outlined in the Communal Award.</p><h4>Key Details</h4><ul><li>Gandhi viewed the Award as an attack on Indian unity and nationalism</li><li>He argued separate political entity for depressed classes would undermine abolishing untouchability</li><li>Gandhi claimed separate electorates would perpetuate untouchability</li><li>He demanded depressed classes be elected through joint electorates</li></ul> | | | | | | | Freedom Movement |
1932 | 9 | 24 | | | | | | September 24, 1932 | Poona Pact | <h3>Event Summary</h3><p>B.R. Ambedkar signed an agreement with Gandhi abandoning separate electorates for depressed classes in favor of reserved seats in joint electorates.</p><h4>Key Details</h4><ul><li>Reserved seats for depressed classes were increased from 71 to 147 in provincial legislatures</li><li>18% seats were reserved in the Central Legislature</li><li>The government accepted this amendment to the Communal Award</li><li>The agreement was negotiated by Ambedkar, MC Rajah, and Madan Mohan Malaviya</li></ul><h4>Significance</h4><p>The pact had long-term consequences for Dalit representation, subordinating them into the Hindu social structure and blocking equality-based society.</p> | | | | | | | Constitutional Development |
1932 | 9 | | | | | | | September 1932 | Establishment of All India Anti-Untouchability League | <h3>Event Summary</h3><p>Gandhi established the All India Anti-Untouchability League to campaign against untouchability.</p><h4>Key Details</h4><ul><li>The organization was founded in September 1932</li><li>It was part of Gandhi's broader Harijan campaign</li></ul> | | | | | | | Socio-Religious Reforms |
1932 | 11 | 17 | | 1932 | 12 | 24 | | November 17-December 24, 1932 | Third Round Table Conference | <h3>Event Summary</h3><p>The Third Round Table Conference was held without Congress participation, with little achieved.</p><h4>Key Details</h4><ul><li>Participants included princely states representatives, Aga Khan III, B.R. Ambedkar, M.R. Jayakar, and Tej Bahadur Sapru</li><li>Begum Jahanara Shahnawaz was a woman participant</li><li>The conference was boycotted by the Indian National Congress and Gandhi</li><li>Like previous conferences, little was achieved</li></ul><h4>Significance</h4><p>Recommendations were published in a White Paper in March 1933, debated in British Parliament, and eventually led to the Government of India Act of 1935.</p> | | | | | | | Constitutional Development |
1933 | 1 | | | | | | | January 1933 | Launch of Harijan Newspaper | <h3>Event Summary</h3><p>Gandhi started the weekly Harijan newspaper as part of his campaign against untouchability.</p><h4>Key Details</h4><ul><li>The newspaper was launched in January 1933</li><li>It was a key component of Gandhi's Harijan campaign</li></ul> | | | | | | | Socio-Religious Reforms |
1933 | 8 | | | | | | | August 1933 | Gandhi's Campaign Against Untouchability | <h3>Event Summary</h3><p>Gandhi launched a campaign against untouchability while still in jail.</p><h4>Key Details</h4><ul><li>The campaign began in August 1933</li><li>Gandhi initiated it while still imprisoned</li></ul> | | | | | | | Socio-Religious Reforms |
1933 | 11 | | | 1934 | 7 | | | November 1933-July 1934 | Gandhi's Harijan Tour | <h3>Event Summary</h3><p>After his release, Gandhi conducted a nationwide Harijan tour covering 20,000 km to collect funds for the Harijan Sevak Sangh.</p><h4>Key Details</h4><ul><li>The tour covered 20,000 kilometers across India</li><li>Gandhi collected funds for the Harijan Sevak Sangh</li><li>He faced opposition from orthodox Hindus</li><li>Gandhi combined social reform with nationalist messaging to Harijan laborers</li></ul> | | | | | | | Socio-Religious Reforms |
1934 | | | | | | | | 1934 | Defeat of Temple Entry Bill | <h3>Event Summary</h3><p>The government defeated the Temple Entry Bill which would have allowed Dalits entry into temples.</p><h4>Key Details</h4><ul><li>The bill would have legally permitted Dalits to enter Hindu temples</li><li>Its defeat was a setback to Gandhi's Harijan campaign</li></ul> | | | | | | | Socio-Religious Reforms |
1934 | | | | | | | | 1934 | Gandhi Withdraws Civil Disobedience Movement | <h3>Event Summary</h3><p>Gandhi withdrew the Civil Disobedience Movement despite maintaining political faith in its principles.</p><h4>Key Details</h4><ul><li>The movement had failed as leaders were arrested and masses were unprepared</li><li>Gandhi maintained his political faith in civil disobedience despite withdrawing the movement</li></ul><h4>Significance</h4><p>This marked the end of the second major nationwide movement led by Gandhi after the Non-Cooperation Movement.</p> | | | | | | | Freedom Movement |
1935 | 7 | | | | | | | July 1935 | Government of India Act Enforced | <h3>Event Summary</h3><p>The Government of India Act of 1935 was enforced, following recommendations from the Round Table Conferences.</p><h4>Key Details</h4><ul><li>The Act resulted from recommendations published in the White Paper (March 1933)</li><li>It was debated in British Parliament</li><li>A Joint Select Committee was formed to review it</li><li>The Draft Bill was produced in February 1935</li></ul> | | | | | | | Constitutional Development |
1934 | | | | 1935 | | | | 1934-1935 | First Stage Debate on Future Strategy | <h3>Event Summary</h3><p>The first stage of the debate on future strategy after the Civil Disobedience Movement took place between 1934 and 1935, focusing on immediate strategy.</p><h4>Key Details</h4><ul><li>Three perspectives emerged: Gandhian constructive work, constitutional participation, and leftist mass struggle</li><li>Nehru led the leftist perspective, advocating continuous confrontation through direct action</li><li>Nehru rejected the Struggle-Truce-Struggle strategy in favor of a Struggle-Victory approach</li><li>Gandhi reconciled opposition by ensuring constructive work continued alongside parliamentary politics</li></ul><h4>Significance</h4><p>This debate shaped the direction of the nationalist movement following the Civil Disobedience Movement.</p> | | | | | | | Freedom Movement |
1934 | | | | | | | | | Congress Establishes Parliamentary Board | <h3>Event Summary</h3><p>In 1934, the Congress established a Parliamentary Board and won 44 out of 75 Indian seats.</p><h4>Key Details</h4><ul><li>This marked Congress's formal entry into parliamentary politics</li><li>The decision came after reconciliation of opposing views within the movement</li><li>Congress won a significant majority of available seats</li></ul><h4>Significance</h4><p>This represented a strategic shift in the Congress approach, incorporating parliamentary politics alongside other forms of resistance.</p> | | | | | | | Constitutional Development |
1934 | | | | | | | | | Gandhi Announces Resignation from Congress | <h3>Event Summary</h3><p>In 1934, Gandhi announced his resignation from the Congress.</p><h4>Key Details</h4><ul><li>Internal tensions remained between Gandhi and various sections of Congress</li><li>Some sections favored parliamentary politics</li><li>Others opposed Gandhi's emphasis on the spinning wheel as "the second lung of the nation"</li><li>A section of socialists led by Nehru had ideological differences with Gandhi</li></ul><h4>Significance</h4><p>Gandhi's resignation highlighted the internal divisions within the Congress movement at this critical juncture.</p> | | | | | | | Nationalist Leaders |
1935 | | | | | | | | | Government of India Act 1935 | <h3>Event Summary</h3><p>The Government of India Act 1935 was enacted, introducing significant constitutional changes to British India.</p><h4>Key Details</h4><ul><li>The Act included provisions for administration, central legislature, and provincial legislature</li><li>It had limitations including governor general's safeguards and special responsibilities</li><li>Limited franchise to only 14% of the population</li><li>Included communal electorates that fostered separatism</li><li>The constitution was rigid with amendment rights reserved for British Parliament</li></ul><h4>Significance</h4><p>The Act was part of a long-term British strategy to weaken the national movement by integrating segments into the colonial administrative structure and creating dissensions within Congress.</p> | | | | | | | Constitutional Development |
1935 | | | | | | | | | Congress Rejects 1935 Act | <h3>Event Summary</h3><p>The Congress formally rejected the Government of India Act 1935, while it was supported by Hindu Mahasabha and National Liberal Foundation.</p><h4>Key Details</h4><ul><li>Congress demanded an adult franchise-based Constituent Assembly instead</li><li>The rejection highlighted Congress's opposition to the colonial constitutional framework</li><li>Other political organizations like Hindu Mahasabha took a different stance by supporting the Act</li></ul><h4>Significance</h4><p>This rejection demonstrated Congress's continued commitment to complete independence rather than accepting partial reforms.</p> | | | | | | | Constitutional Development |
1936 | | | | | | | | | Gandhi Changes Position on Office Acceptance | <h3>Event Summary</h3><p>By 1936, Gandhi changed his position and became willing to give trial to Congress ministries.</p><h4>Key Details</h4><ul><li>Gandhi had initially opposed office acceptance at the CWC meeting</li><li>His change in position influenced the Congress's approach to the upcoming elections</li><li>This shift represented a pragmatic approach to using the available political mechanisms</li></ul><h4>Significance</h4><p>Gandhi's change in position was crucial in shaping Congress's strategy regarding participation in provincial governments.</p> | | | | | | | Nationalist Leaders |
1936 | | | | | | | | | Lucknow Session of Congress | <h3>Event Summary</h3><p>The Congress session at Lucknow in 1936 decided to fight the upcoming elections.</p><h4>Key Details</h4><ul><li>This decision came after extensive debate on the approach to the 1935 Act</li><li>The session formalized Congress's electoral strategy</li><li>It represented a compromise between different factions within Congress</li></ul><h4>Significance</h4><p>The Lucknow session marked a significant strategic decision to engage with the electoral process while maintaining opposition to the 1935 Act.</p> | | | | | | | Freedom Movement |
1937 | | | | | | | | | Faizpur Session of Congress | <h3>Event Summary</h3><p>The Congress session at Faizpur in 1937 reaffirmed the decision to fight elections.</p><h4>Key Details</h4><ul><li>This session continued the electoral strategy decided at Lucknow</li><li>Congress resolved not to submit to the constitution but to combat it inside and outside legislatures</li><li>The session helped finalize Congress's approach to the upcoming elections</li></ul><h4>Significance</h4><p>The Faizpur session solidified Congress's dual strategy of participating in elections while continuing to oppose the constitutional framework.</p> | | | | | | | Freedom Movement |
1937 | 2 | | | | | | | February 1937 | Provincial Elections | <h3>Event Summary</h3><p>In February 1937, provincial elections were held with 30.1 million voters participating.</p><h4>Key Details</h4><ul><li>Congress won 716 out of 1,161 seats</li><li>Congress secured a majority in most provinces</li><li>The results vindicated the nationalist strategy</li><li>Congress's prestige increased as a result of the electoral victory</li></ul><h4>Significance</h4><p>The election results demonstrated widespread popular support for Congress and validated their decision to participate in the electoral process.</p> | | | | | | | Constitutional Development |
1937 | | | | | | | | 1937 | Second Stage Debate on Future Strategy | <h3>Event Summary</h3><p>In 1937, the second stage of the debate on future strategy took place, focusing on the question of office acceptance in provincial elections under the Government of India Act 1935.</p><h4>Key Details</h4><ul><li>The debate resumed as provincial elections were announced</li><li>Ideological divisions emerged on the post-election approach</li><li>Nehru, Bose, and leftists opposed office acceptance</li><li>Others favored participation as a strategy to combat the Act from within</li><li>The debate centered on whether accepting office would negate rejection of the Act</li></ul><h4>Significance</h4><p>This debate shaped Congress's approach to governing in provinces where they won elections and influenced the broader nationalist strategy.</p> | | | | | | | Freedom Movement |
1937 |  |  |  | 1939 |  |  |  | 1937-1939 | Congress Ministries in Provinces | <h3>Event Summary</h3><p>Congress ministries were formed in Bombay, Madras, Central Provinces, Orissa, UP, Bihar, NWFP, and Assam. These ministries functioned until 1939 when they resigned after the outbreak of WWII.</p><h4>Key Details</h4><ul><li>Gandhi advised Congress ministers to hold offices lightly and see them as a "crown of thorns"</li><li>Congress aimed to prove it could rule with minimal police/army</li><li>Ministries increased Congress prestige but couldn't change imperial system fundamentals</li><li>Power struggles emerged by 1939</li></ul><h4>Significance</h4><p>Congress rule confirmed the necessity of self-government, demonstrated use of state power, controlled riots, weakened bureaucracy, neutralized opposition, and provided a preview of independence. Administrative success disproved the "Indians-can't-rule myth".</p> |  |  |  |  |  |  | Constitutional Development |
1937 |  |  |  | 1939 |  |  |  | 1937-1939 | Post-Emergency Civil Liberties Reforms | <h3>Event Summary</h3><p>Congress ministries implemented various civil liberties reforms after taking office in the provinces.</p><h4>Key Details</h4><ul><li>Repealed emergency powers laws</li><li>Lifted ban on organizations like Hindustan Seva Dal and Youth Leagues</li><li>Removed press restrictions and newspapers from blacklists</li><li>Restored confiscated arms/licenses and curbed police powers</li><li>Stopped shadowing politicians</li><li>Released political prisoners and revoked deportation/internment orders</li><li>Restored lands confiscated during Civil Disobedience Movement</li><li>Restored pensions of officials associated with Civil Disobedience Movement</li></ul> |  |  |  |  |  |  | Freedom Movement |
1937 |  |  |  | 1939 |  |  |  | 1937-1939 | Agrarian Reforms Under Congress Ministries | <h3>Event Summary</h3><p>Congress ministries implemented agrarian reforms despite various constraints.</p><h4>Key Details</h4><ul><li>Reforms were constrained by inadequate ministerial powers, confrontational politics, reactionary Legislative Council, insufficient financial powers, complex agrarian structure, and need to neutralize zamindars</li><li>Despite constraints, Congress legislated laws on land reforms, debt relief, grazing fees, and rent arrears</li><li>Main beneficiaries were statutory and occupancy tenants</li></ul> |  |  |  |  |  |  | Economic Policies |
1937 |  |  |  | 1939 |  |  |  | 1937-1939 | Labour Reforms Under Congress Rule | <h3>Event Summary</h3><p>Congress ministries implemented labour reforms while balancing between worker interests and controlling militant unions.</p><h4>Key Details</h4><ul><li>Promoted arbitration over strikes</li><li>Improved working conditions</li><li>Controlled militant unions</li><li>By 1938, shifted toward capitalists and away from labor</li></ul> |  |  |  |  |  |  | Economic Policies |
